CAS Registry Number,Canonical SMILES,key
50-67-9,OC=1C=CC=2NC=C(C2C1)CCN,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
106-95-6,BrCC=C,0
124-07-2,O=C(O)CCCCCCC,0
407-25-0,O=C(OC(=O)C(F)(F)F)C(F)(F)F,0
61-54-1,NCCC1=CNC=2C=CC=CC21,0
141-75-3,O=C(Cl)CCC,0
625-36-5,O=C(Cl)CCCl,0
2937-50-0,O=C(Cl)OCC=C,0
608-07-1,O(C=1C=CC=2NC=C(C2C1)CCN)C,0
17082-09-6,O=C(Cl)C=CC=1C=CC=CC1,0
61-49-4,C=1C=CC2=C(C1)NC=C2CCNC,0
375-16-6,O=C(Cl)C(F)(F)C(F)(F)C(F)(F)F,0
299-26-3,NC(C)CC1=CNC=2C=CC=CC21,0
5130-24-5,O=C(Cl)OC=C,0
304-52-9,OC=1C=CC=2NC=C(C2C1)CC(N)C,0
1821-47-2,NCCC1=CNC=2C=CC(=CC21)C,0
3610-36-4,O(C=1C=CC2=C(C1)NC=C2CCN)C,0
1134-01-6,OC=1C=CC=2NC=C(C2C1)CCNC,0
576-16-9,FC=1C=CC=2NC=C(C2C1)CCN,0
20776-45-8,O(C=1C=CC=2NC=C(C2C1)CCN)CC=3C=CC=CC3,0
14490-05-2,NCCC1=CNC2=C1C=CC=C2C,0
575-85-9,FC=1C=CC2=C(C1)NC=C2CCN,0
497871-47-3,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(NCCC=6C=7C=C(OC)C=CC7NC65)C(=O)OCC3N8C(O)C9N(C)C(C%10=C(O)C(OC)=C(C=C%10C9)C)C84)C)C,1
712-08-3,FC=1C=CC=2NC=C(C2C1)CC(N)C,0
31677-75-5,O(C1=CC=CC=2C(=CNC12)CCN)CC=3C=CC=CC3,0
308359-33-3,N#CC1N2C3C4=C5OCOC5=C(C(OC(=O)C)=C4C(SCC(=O)C(=O)OC3)C2C6C7=C(O)C(OC)=C(C=C7CC1N6C)C)C,0
144285-85-8,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(NCCC=6C=7C=CC=CC7NC65)C(=O)OCC3N8C(O)C9N(C)C(C%10=C(O)C(OC)=C(C=C%10C9)C)C84)C)C,0
497871-10-0,N#CC1N2C3C4=C5OCOC5=C(C(OC(=O)C)=C4C(SCC6(NCCC=7C=8C=C(OC)C=CC8NC76)C(=O)OC3)C2C9C%10=C(O)C(OC)=C(C=C%10CC1N9C)C)C,0
497924-35-3,N#CC1N2C3C4=C5OCOC5=C(C(OC(=O)C)=C4C(SCC6(NCCC=7C=8C=CC=CC8NC76)C(=O)OC3)C2C9C%10=C(O)C(OC)=C(C=C%10CC1N9C)C)C,0
497924-37-5,N#CC1N2C3C4=C5OCOC5=C(C(O)=C4C(SCC6(NCCC=7C=8C=CC=CC8NC76)C(=O)OC3)C2C9C%10=C(O)C(OC)=C(C=C%10CC1N9C)C)C,0
497871-86-0,O=C(OC=C)OC=1C(OC)=C(C=C2C1C3N(C)C(C2)C(O)N4C5C6=C7OCOC7=C(C(OC(=O)OC=C)=C6C(SCC8(NCCC=9C=%10C=CC=CC%10NC98)C(=O)OC5)C43)C)C,0
497871-85-9,O=C(OC=C)OC=1C(=C2OCOC2=C3C1C4SCC5(NCCC=6C=7C=CC=CC7NC65)C(=O)OCC3N8C(O)C9N(C)C(C%10=C(O)C(OC)=C(C=C%10C9)C)C84)C,0
497871-84-8,O=C(OC=1C(OC)=C(C=C2C1C3N(C)C(C2)C(O)N4C5C6=C7OCOC7=C(C(OC(=O)OC(C)(C)C)=C6C(SCC8(NCCC=9C=%10C=CC=CC%10NC98)C(=O)OC5)C43)C)C)OC(C)(C)C,0
497871-83-7,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(NCCC=6C=7C=CC=CC7NC65)C(=O)OCC3N8C(O)C9N(C)C(C%10=C(O)C(OC)=C(C=C%10C9)C)C84)C)OC(C)(C)C,0
497871-82-6,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(NCCC=6C=7C=CC=CC7NC65)C(=O)OCC3N8C(O)C9N(C)C(C%10=C(O)C(OC)=C(C=C%10C9)C)C84)C)OCC=C,0
497871-81-5,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(NCCC=6C=7C=CC=CC7NC65)C(=O)OCC3N8C(O)C9N(C)C(C%10=C(O)C(OC)=C(C=C%10C9)C)C84)C)CCC,0
497871-80-4,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(NCCC=6C=7C=CC=CC7NC65)C(=O)OCC3N8C(O)C9N(C)C(C%10=C(O)C(OC)=C(C=C%10C9)C)C84)C)C(F)(F)C(F)(F)C(F)(F)F,0
497871-79-1,N#CC1N2C3C4=C5OCOC5=C(C(OC(=O)CCCCCCC)=C4C(SCC6(NCCC=7C=8C=CC=CC8NC76)C(=O)OC3)C2C9C%10=C(O)C(OC)=C(C=C%10CC1N9C)C)C,0
497871-78-0,N#CC1N2C3C4=C5OCOC5=C(C(OC(=O)OC=C)=C4C(SCC6(NCCC=7C=8C=CC=CC8NC76)C(=O)OC3)C2C9C%10=C(OC(=O)OC=C)C(OC)=C(C=C%10CC1N9C)C)C,0
497871-77-9,N#CC1N2C3C4=C5OCOC5=C(C(OC(=O)OC=C)=C4C(SCC6(NCCC=7C=8C=CC=CC8NC76)C(=O)OC3)C2C9C%10=C(O)C(OC)=C(C=C%10CC1N9C)C)C,0
497871-76-8,N#CC1N2C3C4=C5OCOC5=C(C(OC(=O)OC(C)(C)C)=C4C(SCC6(NCCC=7C=8C=CC=CC8NC76)C(=O)OC3)C2C9C%10=C(OC(=O)OC(C)(C)C)C(OC)=C(C=C%10CC1N9C)C)C,0
497871-75-7,N#CC1N2C3C4=C5OCOC5=C(C(OC(=O)OC(C)(C)C)=C4C(SCC6(NCCC=7C=8C=CC=CC8NC76)C(=O)OC3)C2C9C%10=C(O)C(OC)=C(C=C%10CC1N9C)C)C,0
497871-74-6,N#CC1N2C3C4=C5OCOC5=C(C(OC(=O)C(F)(F)F)=C4C(SCC6(NCCC=7C=8C=CC=CC8NC76)C(=O)OC3)C2C9C%10=C(O)C(OC)=C(C=C%10CC1N9C)C)C,0
497871-73-5,N#CC1N2C3C4=C5OCOC5=C(C(OC(=O)OCC=C)=C4C(SCC6(NCCC=7C=8C=CC=CC8NC76)C(=O)OC3)C2C9C%10=C(O)C(OC)=C(C=C%10CC1N9C)C)C,0
497871-72-4,N#CC1N2C3C4=C5OCOC5=C(C(OC(=O)C=CC=6C=CC=CC6)=C4C(SCC7(NCCC=8C=9C=CC=CC9NC87)C(=O)OC3)C2C%10C%11=C(O)C(OC)=C(C=C%11CC1N%10C)C)C,0
497871-71-3,N#CC1N2C3C4=C5OCOC5=C(C(OC(=O)CCCl)=C4C(SCC6(NCCC=7C=8C=CC=CC8NC76)C(=O)OC3)C2C9C%10=C(O)C(OC)=C(C=C%10CC1N9C)C)C,0
497871-70-2,N#CC1N2C3C4=C5OCOC5=C(C(OC(=O)CCC)=C4C(SCC6(NCCC=7C=8C=CC=CC8NC76)C(=O)OC3)C2C9C%10=C(O)C(OC)=C(C=C%10CC1N9C)C)C,0
497871-69-9,N#CC1N2C3C4=C5OCOC5=C(C(OC(=O)C(F)(F)C(F)(F)C(F)(F)F)=C4C(SCC6(NCCC=7C=8C=CC=CC8NC76)C(=O)OC3)C2C9C%10=C(O)C(OC)=C(C=C%10CC1N9C)C)C,0
497871-68-8,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(C(=O)OCC3N6C(O)C7N(C)C(C8=C(OCC=C)C(OC)=C(C=C8C7)C)C64)C=9NC=%10C=CC=CC%10C9CCN5CC=C)C)C,0
497871-67-7,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(NCCC=6C=7C=CC=CC7NC65)C(=O)OCC3N8C(O)C9N(C)C(C%10=C(OCC=C)C(OC)=C(C=C%10C9)C)C84)C)C,0
497871-66-6,O=C(OC=C)OC=1C(OC)=C(C=C2C1C3N(C)C(C2)C(O)N4C5C6=C7OCOC7=C(C(OC(=O)C)=C6C(SCC8(NCCC=9C=%10C=CC=CC%10NC98)C(=O)OC5)C43)C)C,0
497871-65-5,O=C(OC=1C(OC)=C(C=C2C1C3N(C)C(C2)C(O)N4C5C6=C7OCOC7=C(C(OC(=O)C)=C6C(SCC8(NCCC=9C=%10C=CC=CC%10NC98)C(=O)OC5)C43)C)C)OC(C)(C)C,0
497871-64-4,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(NCCC=6C=7C=CC=CC7NC65)C(=O)OCC3N8C(O)C9N(C)C(C%10=C(OC(=O)CCC)C(OC)=C(C=C%10C9)C)C84)C)C,0
497871-63-3,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(NC(C)CC=6C=7C=CC=CC7NC65)C(=O)OCC3N8C(O)C9N(C)C(C%10=C(O)C(OC)=C(C=C%10C9)C)C84)C)C,0
497871-62-2,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(NC(C)CC=6C=7C=CC=CC7NC65)C(=O)OCC3N8C(O)C9N(C)C(C%10=C(O)C(OC)=C(C=C%10C9)C)C84)C)C,0
497871-61-1,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(NC(C)CC=6C=7C=C(F)C=CC7NC65)C(=O)OCC3N8C(O)C9N(C)C(C%10=C(O)C(OC)=C(C=C%10C9)C)C84)C)C,0
497871-60-0,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(NC(C)CC=6C=7C=C(F)C=CC7NC65)C(=O)OCC3N8C(O)C9N(C)C(C%10=C(O)C(OC)=C(C=C%10C9)C)C84)C)C,0
497871-59-7,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(C(=O)OCC3N6C(O)C7N(C)C(C8=C(O)C(OC)=C(C=C8C7)C)C64)C=9NC=%10C=CC=CC%10C9CCN5C)C)C,0
497871-58-6,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(NC(C)CC=6C=7C=C(O)C=CC7NC65)C(=O)OCC3N8C(O)C9N(C)C(C%10=C(O)C(OC)=C(C=C%10C9)C)C84)C)C,0
497871-57-5,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(NC(C)CC=6C=7C=C(O)C=CC7NC65)C(=O)OCC3N8C(O)C9N(C)C(C%10=C(O)C(OC)=C(C=C%10C9)C)C84)C)C,0
497871-56-4,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(NCCC=6C=7C=CC=C(C7NC65)C)C(=O)OCC3N8C(O)C9N(C)C(C%10=C(O)C(OC)=C(C=C%10C9)C)C84)C)C,0
497871-55-3,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(NCCC=6C=7C=C(F)C=CC7NC65)C(=O)OCC3N8C(O)C9N(C)C(C%10=C(O)C(OC)=C(C=C%10C9)C)C84)C)C,0
497871-54-2,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(NCCC=6C=7C=CC(OC)=CC7NC65)C(=O)OCC3N8C(O)C9N(C)C(C%10=C(O)C(OC)=C(C=C%10C9)C)C84)C)C,0
497871-53-1,O=C(OC=1C(=C2OCOC2=C3C1C4SCC5(C(=O)OCC3N6C(O)C7N(C)C(C8=C(O)C(OC)=C(C=C8C7)C)C64)C=9NC=%10C=CC(O)=CC%10C9CCN5C)C)C,0
