CAS Registry Number,Canonical SMILES,key
67-56-1,OC,0
62-53-3,NC=1C=CC=CC1,0
74-88-4,IC,0
75-07-0,O=CC,0
110-89-4,N1CCCCC1,0
110-91-8,O1CCNCC1,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
18162-48-6,Cl[Si](C)(C)C(C)(C)C,0
1066-54-2,C#C[Si](C)(C)C,0
106-96-7,BrCC#C,0
118-92-3,O=C(O)C=1C=CC=CC1N,0
371-40-4,FC1=CC=C(N)C=C1,0
108-44-1,NC1=CC=CC(=C1)C,0
108-42-9,ClC1=CC=CC(N)=C1,0
591-27-5,OC1=CC=CC(N)=C1,0
15761-38-3,O=C(OC(C)(C)C)NC(C(=O)O)C,0
87-62-7,NC=1C(=CC=CC1C)C,0
557-21-1,N#C[Zn]C#N,0
372-19-0,FC1=CC=CC(N)=C1,0
7051-34-5,BrCC1CC1,0
37595-74-7,O=S(=O)(N(C=1C=CC=CC1)S(=O)(=O)C(F)(F)F)C(F)(F)F,0
76513-69-4,ClCOCC[Si](C)(C)C,0
552-16-9,O=C(O)C=1C=CC=CC1N(=O)=O,0
91-00-9,NC(C=1C=CC=CC1)C=2C=CC=CC2,0
87-42-3,ClC1=NC=NC=2N=CNC12,0
626-43-7,ClC=1C=C(Cl)C=C(N)C1,0
3179-63-3,OCCCN(C)C,0
608-31-1,ClC1=CC=CC(Cl)=C1N,0
683-57-8,O=C(N)CBr,0
2081-44-9,OC1CCOCC1,0
870281-82-6,O=C1C=2C(F)=CC=CC2N=C(N1C=3C=CC=CC3)C(NC4=NC=NC=5N=CNC54)CC,1
372-39-4,FC=1C=C(F)C=C(N)C1,0
5509-65-9,FC1=CC=CC(F)=C1N,0
3680-69-1,ClC1=NC=NC=2NC=CC12,0
619-23-8,O=N(=O)C1=CC=CC(=C1)CCl,0
446-08-2,O=C(O)C1=CC(F)=CC=C1N,0
4389-50-8,O=C(O)C=1C(N)=CC=CC1C,0
34306-42-8,O=C(OC(C)(C)C)NC(C(=O)O)CC,0
2148-56-3,O=C(O)C=1C(Cl)=CC=CC1N,0
17178-10-8,O=S(=O)(OCCOC)C1=CC=C(C=C1)C,0
3392-05-0,O=C(OC(C)(C)C)NC(C(=O)ON1C(=O)CCC1=O)C,0
2516-95-2,O=C(O)C1=CC(Cl)=CC=C1N(=O)=O,0
434-76-4,O=C(O)C=1C(F)=CC=CC1N,0
