CAS Registry Number,Canonical SMILES,key
1032903-57-3,O=C(OC(C)(C)C)N1CCC(OC=2C=C(C(=CC2N(=O)=O)C=3C=NN(C3)C)C)CC1,0
1032903-56-2,O=C(OC(C)(C)C)N1CCC(OC2=CC(=C(Cl)C=C2N(=O)=O)C)CC1,0
1032903-55-1,O=C1C2=CC(=C(OC(C)C)C=C2CN1C3CCN(C)CC3)N(=O)=O,0
1032903-47-1,O=S(=O)(C=1C=CC=CC1NC2=NC(=NC=C2Cl)NC3=CC=C(C=C3OC(C)C)C(C)(CO)CO)C(C)C,0
1032903-46-0,O=S(=O)(C=1C=CC=CC1NC2=NC(=NC=C2Cl)NC=3C=CC(=NC3OC)C=4C=CC=CC4)N(C)C,0
1032903-45-9,O=S(=O)(C=1C=CC=CC1NC2=NC(=NC=C2Cl)NC=3C=CC(=NC3OC)C=4C=CC(=CC4)N5CCNCC5)C(C)C,0
1032903-44-8,O=S(=O)(C=1C=CC=CC1NC2=NC(=NC=C2Cl)NC=3C=CC(=NC3OC)C4CCNCC4)C(C)C,0
1032903-42-6,O=C(N)CN1CCC(C2=CC=C(NC3=NC=C(Cl)C(=N3)NC=4C=CC=CC4S(=O)(=O)C(C)C)C(OC(C)C)=C2)CC1,0
1032903-40-4,O=C(C=1C=CC=CC1NC2=NC(=NC=C2Cl)NC3=CC=C(C=C3OC(C)C)C4CCN(C)CC4)N(C)C,0
1032903-39-1,O=S(=O)(C=1C=CC=CC1NC2=NC(=NC=C2C)NC3=CC=C(C=C3OC(C)C)C4CCN(C)CC4)C(C)C,0
1032903-38-0,O=S(=O)(C=1C=CC=CC1NC2=NC(=NC=C2Cl)NC3=CC=C(C=C3OC(C)C)C4CCN(C)CC4)C(C)C,0
1032903-37-9,O=S(=O)(C=1C=CC=CC1NC2=NC(=NC=C2C)NC3=CC=C(C=C3OC(C)C)C4CCN(CCO)CC4)C(C)C,0
1032903-36-8,O=S(=O)(C=1C=CC=CC1NC2=NC(=NC=C2C)NC3=CC=C(C=C3OC(C)C)C4CCNCC4)C(C)C,0
1032903-35-7,O=C1CCC(C2=CC=C(NC3=NC=C(Cl)C(=N3)NC=4C=CC=CC4S(=O)(=O)C(C)C)C(OC(C)C)=C2)CC1,0
